company_id,type,rule_id,text,confidence_pct
ADANIGREEN,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
ADANIGREEN,con,CON_5,Net debt exceeding 3 times EBITDA indicates high leverage and reduced financial flexibility,88.88
ADANIGREEN,con,CON_6,Interest coverage below 1.5x indicates elevated risk in meeting debt-servicing obligations,76.66
ADANIPORTS,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
ADANIPORTS,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
ADANIPORTS,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
ADANIPORTS,con,FALLBACK_CON_ROCE,Return on capital employed of 12.90% leaves room for improvement in capital efficiency,70.0
ADANIPOWER,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy internal cash generation,95.0
ADANIPOWER,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
ADANIPOWER,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
ADANIPOWER,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72.17
ADANIPOWER,con,FALLBACK_CON_MARGIN,Current operating margin of 38.00% leaves scope for further improvement in operating efficiency,65.0
AMBUJACEM,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
AMBUJACEM,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
AMBUJACEM,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
AMBUJACEM,con,CON_2,Negative recent free cash flow indicates pressure on internally generated cash,90.0
AMBUJACEM,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
AMBUJACEM,con,CON_1,Return on equity below 10% indicates relatively weak shareholder capital efficiency,85.0
APOLLOHOSP,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy internal cash generation,95.0
APOLLOHOSP,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,94.2
APOLLOHOSP,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,92.43
APOLLOHOSP,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
APOLLOHOSP,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
APOLLOHOSP,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
ASIANPAINT,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy internal cash generation,95.0
ASIANPAINT,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
ASIANPAINT,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
ASIANPAINT,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
ASIANPAINT,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,78.96
ASIANPAINT,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,70.42
ASIANPAINT,con,FALLBACK_CON_MARGIN,Current operating margin of 19.00% leaves scope for further improvement in operating efficiency,65.0
ATGL,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
ATGL,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
ATGL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,84.36
ATGL,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,82.18
ATGL,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,75.81
ATGL,con,FALLBACK_CON_MARGIN,Current operating margin of 24.00% leaves scope for further improvement in operating efficiency,65.0
AXISBANK,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
AXISBANK,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,95.0
AXISBANK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,95.0
AXISBANK,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
AXISBANK,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
AXISBANK,con,CON_4,Debt-to-equity above 2x indicates elevated financial leverage and balance-sheet risk,95.0
AXISBANK,con,CON_5,Net debt exceeding 3 times EBITDA indicates high leverage and reduced financial flexibility,95.0
AXISBANK,con,CON_2,Negative recent free cash flow indicates pressure on internally generated cash,90.0
AXISBANK,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
AXISBANK,con,CON_10,Return on capital employed below 10% suggests weak returns on invested capital,85.0
BAJAJ-AUTO,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy internal cash generation,95.0
BAJAJ-AUTO,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
BAJAJ-AUTO,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
BAJAJ-AUTO,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
BAJAJ-AUTO,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
BAJAJFINSV,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,92.0
BAJAJFINSV,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
BAJAJFINSV,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
BAJAJFINSV,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,81.95
BAJAJFINSV,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,78.38
BAJAJFINSV,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,75.62
BAJAJFINSV,con,CON_5,Net debt exceeding 3 times EBITDA indicates high leverage and reduced financial flexibility,90.41
BAJAJFINSV,con,CON_2,Negative recent free cash flow indicates pressure on internally generated cash,90.0
BAJAJFINSV,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
BAJAJFINSV,con,CON_4,Debt-to-equity above 2x indicates elevated financial leverage and balance-sheet risk,83.32
BAJAJHLDNG,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0
BAJAJHLDNG,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
BAJAJHLDNG,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
BAJAJHLDNG,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
BAJAJHLDNG,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,75.95
BAJAJHLDNG,con,FALLBACK_CON_ROCE,Return on capital employed of 13.10% leaves room for improvement in capital efficiency,70.0
BAJFINANCE,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
BAJFINANCE,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
BAJFINANCE,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.83
BAJFINANCE,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88.71
BAJFINANCE,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
BAJFINANCE,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
BAJFINANCE,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,83.98
BAJFINANCE,con,CON_5,Net debt exceeding 3 times EBITDA indicates high leverage and reduced financial flexibility,95.0
BAJFINANCE,con,CON_2,Negative recent free cash flow indicates pressure on internally generated cash,90.0
BAJFINANCE,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
BAJFINANCE,con,CON_4,Debt-to-equity above 2x indicates elevated financial leverage and balance-sheet risk,78.68
BANKBARODA,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
BANKBARODA,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,95.0
BANKBARODA,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,95.0
BANKBARODA,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
BANKBARODA,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
BANKBARODA,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.95
BANKBARODA,con,CON_4,Debt-to-equity above 2x indicates elevated financial leverage and balance-sheet risk,95.0
BANKBARODA,con,CON_5,Net debt exceeding 3 times EBITDA indicates high leverage and reduced financial flexibility,95.0
BANKBARODA,con,CON_2,Negative recent free cash flow indicates pressure on internally generated cash,90.0
BANKBARODA,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
BANKBARODA,con,CON_10,Return on capital employed below 10% suggests weak returns on invested capital,85.0
BEL,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
BEL,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
BEL,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
BEL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,72.0
BEL,con,CON_2,Negative recent free cash flow indicates pressure on internally generated cash,90.0
BHARTIARTL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
BHARTIARTL,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,95.0
BHARTIARTL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,95.0
BHARTIARTL,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
BHARTIARTL,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
BHARTIARTL,con,CON_4,Debt-to-equity above 2x indicates elevated financial leverage and balance-sheet risk,72.95
BHEL,pro,FALLBACK_PRO_LEVERAGE,Debt-to-equity of 0.38x indicates relatively moderate balance-sheet leverage,70.0
BHEL,con,CON_5,Net debt exceeding 3 times EBITDA indicates high leverage and reduced financial flexibility,91.13
BHEL,con,CON_2,Negative recent free cash flow indicates pressure on internally generated cash,90.0
BHEL,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
BHEL,con,CON_1,Return on equity below 10% indicates relatively weak shareholder capital efficiency,85.0
BHEL,con,CON_10,Return on capital employed below 10% suggests weak returns on invested capital,85.0
BHEL,con,CON_9,Operating profit margin below 10% indicates limited operating profitability,80.0
BHEL,con,CON_6,Interest coverage below 1.5x indicates elevated risk in meeting debt-servicing obligations,77.07
BOSCHLTD,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy internal cash generation,95.0
BOSCHLTD,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
BOSCHLTD,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
BOSCHLTD,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
BOSCHLTD,con,FALLBACK_CON_REVENUE,Revenue CAGR of 6.72% indicates relatively modest historical top-line growth,70.0
BPCL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,89.59
BPCL,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
BPCL,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
BPCL,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,78.69
BPCL,con,CON_9,Operating profit margin below 10% indicates limited operating profitability,80.0
BRITANNIA,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
BRITANNIA,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
BRITANNIA,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
BRITANNIA,con,FALLBACK_CON_REVENUE,Revenue CAGR of 8.69% indicates relatively modest historical top-line growth,70.0
CANBK,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,95.0
CANBK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,95.0
CANBK,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
CANBK,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
CANBK,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.35
CANBK,con,CON_4,Debt-to-equity above 2x indicates elevated financial leverage and balance-sheet risk,95.0
CANBK,con,CON_5,Net debt exceeding 3 times EBITDA indicates high leverage and reduced financial flexibility,95.0
CANBK,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
CANBK,con,CON_10,Return on capital employed below 10% suggests weak returns on invested capital,85.0
CANBK,con,CON_9,Operating profit margin below 10% indicates limited operating profitability,80.0
CHOLAFIN,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
CHOLAFIN,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
CHOLAFIN,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
CHOLAFIN,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
CHOLAFIN,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,83.88
CHOLAFIN,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,80.91
CHOLAFIN,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,75.05
CHOLAFIN,con,CON_4,Debt-to-equity above 2x indicates elevated financial leverage and balance-sheet risk,95.0
CHOLAFIN,con,CON_5,Net debt exceeding 3 times EBITDA indicates high leverage and reduced financial flexibility,95.0
CHOLAFIN,con,CON_2,Negative recent free cash flow indicates pressure on internally generated cash,90.0
CHOLAFIN,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
CIPLA,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy internal cash generation,95.0
CIPLA,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
CIPLA,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
CIPLA,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
CIPLA,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
CIPLA,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,80.25
CIPLA,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,74.09
CIPLA,con,FALLBACK_CON_REVENUE,Revenue CAGR of 9.51% indicates relatively modest historical top-line growth,70.0
COALINDIA,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy internal cash generation,95.0
COALINDIA,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
COALINDIA,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
COALINDIA,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
COALINDIA,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,72.78
COALINDIA,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
DABUR,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy internal cash generation,95.0
DABUR,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
DABUR,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
DABUR,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
DIVISLAB,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
DIVISLAB,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
DIVISLAB,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80.0
DIVISLAB,con,CON_11,Net profit declining across consecutive periods indicates weakening earnings momentum,90.0
DIVISLAB,con,CON_12,Declining EPS across consecutive periods indicates pressure on per-share earnings,90.0
DLF,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy internal cash generation,95.0
DLF,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
DLF,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,74.0
DLF,con,CON_1,Return on equity below 10% indicates relatively weak shareholder capital efficiency,85.0
DLF,con,CON_10,Return on capital employed below 10% suggests weak returns on invested capital,85.0
DMART,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
DMART,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
DMART,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
DMART,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,81.61
DMART,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80.97
DMART,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,74.45
DMART,con,CON_9,Operating profit margin below 10% indicates limited operating profitability,80.0
DRREDDY,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy internal cash generation,95.0
DRREDDY,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
DRREDDY,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
DRREDDY,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
DRREDDY,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,83.26
DRREDDY,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,75.09
DRREDDY,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,74.0
DRREDDY,con,FALLBACK_CON_MARGIN,Current operating margin of 27.00% leaves scope for further improvement in operating efficiency,65.0
EICHERMOT,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy internal cash generation,95.0
EICHERMOT,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
EICHERMOT,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
EICHERMOT,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
EICHERMOT,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,72.0
EICHERMOT,con,FALLBACK_CON_MARGIN,Current operating margin of 26.00% leaves scope for further improvement in operating efficiency,65.0
GAIL,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
GAIL,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
GAIL,con,FALLBACK_CON_ROE,Return on equity of 14.00% is below a stronger double-digit efficiency benchmark,70.0
GODREJCP,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
GODREJCP,con,CON_2,Negative recent free cash flow indicates pressure on internally generated cash,90.0
GODREJCP,con,CON_11,Net profit declining across consecutive periods indicates weakening earnings momentum,90.0
GODREJCP,con,CON_1,Return on equity below 10% indicates relatively weak shareholder capital efficiency,85.0
GRASIM,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,89.1
GRASIM,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
GRASIM,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
GRASIM,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,83.97
GRASIM,con,CON_2,Negative recent free cash flow indicates pressure on internally generated cash,90.0
GRASIM,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
GRASIM,con,CON_11,Net profit declining across consecutive periods indicates weakening earnings momentum,90.0
GRASIM,con,CON_12,Declining EPS across consecutive periods indicates pressure on per-share earnings,90.0
GRASIM,con,CON_1,Return on equity below 10% indicates relatively weak shareholder capital efficiency,85.0
GRASIM,con,CON_10,Return on capital employed below 10% suggests weak returns on invested capital,85.0
GRASIM,con,CON_5,Net debt exceeding 3 times EBITDA indicates high leverage and reduced financial flexibility,82.2
HAL,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
HAL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,87.46
HAL,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
HAL,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
HAL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,84.0
HAL,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,79.73
HAL,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
HAVELLS,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
HAVELLS,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
HAVELLS,con,FALLBACK_CON_EPS,EPS CAGR of 9.00% indicates relatively modest historical per-share earnings growth,70.0
HCLTECH,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy internal cash generation,95.0
HCLTECH,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
HCLTECH,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
HCLTECH,con,FALLBACK_CON_PROFIT,Net profit CAGR of 9.19% indicates relatively modest historical earnings growth,70.0
HDFCBANK,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
HDFCBANK,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
HDFCBANK,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,83.9
HDFCBANK,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,75.8
HDFCBANK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,70.64
HDFCBANK,con,CON_5,Net debt exceeding 3 times EBITDA indicates high leverage and reduced financial flexibility,95.0
HDFCBANK,con,CON_4,Debt-to-equity above 2x indicates elevated financial leverage and balance-sheet risk,94.04
HDFCBANK,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
HDFCBANK,con,CON_10,Return on capital employed below 10% suggests weak returns on invested capital,85.0
HDFCBANK,con,CON_9,Operating profit margin below 10% indicates limited operating profitability,80.0
HDFCLIFE,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
HDFCLIFE,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
HDFCLIFE,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,82.34
HDFCLIFE,con,CON_2,Negative recent free cash flow indicates pressure on internally generated cash,90.0
HDFCLIFE,con,CON_10,Return on capital employed below 10% suggests weak returns on invested capital,85.0
HEROMOTOCO,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy internal cash generation,95.0
HEROMOTOCO,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
HEROMOTOCO,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
HEROMOTOCO,con,FALLBACK_CON_PROFIT,Net profit CAGR of 1.54% indicates relatively modest historical earnings growth,70.0
HINDALCO,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
HINDALCO,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
HINDALCO,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
HINDALCO,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
HINDALCO,con,FALLBACK_CON_ROE,Return on equity of 10.20% is below a stronger double-digit efficiency benchmark,70.0
HINDUNILVR,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy internal cash generation,95.0
HINDUNILVR,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
HINDUNILVR,pro,PRO_7,Strong interest coverage indicates limited financial stress from debt servicing,90.0
HINDUNILVR,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
HINDUNILVR,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
HINDUNILVR,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
ICICIBANK,pro,PRO_6,Net profit compounding at above 20% over 5 years indicates strong earnings growth,95.0
ICICIBANK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings compounding,95.0
ICICIBANK,pro,PRO_11,Revenue growing slower than profits indicates improving operating leverage and scale benefits,85.0
ICICIBANK,pro,PRO_12,Growing asset base indicates expansion of the underlying operating platform,85.0
ICICIBANK,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.5
ICICIBANK,con,CON_5,Net debt exceeding 3 times EBITDA indicates high leverage and reduced financial flexibility,95.0
ICICIBANK,con,CON_4,Debt-to-equity above 2x indicates elevated financial leverage and balance-sheet risk,92.23
ICICIBANK,con,CON_8,Rising borrowings over consecutive periods suggest increasing financial leverage risk,90.0
ICICIBANK,con,CON_10,Return on capital employed below 10% suggests weak returns on invested capital,85.0
ICICIBANK,con,CON_9,Operating profit margin below 10% indicates limited operating profitability,80.0
ICICIGI,pro,PRO_3,Debt-free balance sheet provides financial flexibility and minimizes interest burden,98.0
ICICIGI,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy internal cash generation,95.0
ICICIGI,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
